	cre	collection_date	sequencing_type	total_reads	all_mapped_percent	mRNA_percent	genome_percent	ercc_percent	tdt_permillion	BICCN_class_label	BICCN_cluster_label	major_dissection	layer_dissectoin	color_code	short_name	BICCN_ontology_term_id	assay_ontology_term_id	disease_ontology_term_id	tissue_ontology_term_id	cell_type_ontology_term_id	self_reported_ethnicity_ontology_term_id	development_stage_ontology_term_id	sex_ontology_term_id	is_primary_data	organism_ontology_term_id	donor_id	suspension_type	tissue_type	cell_type	assay	disease	organism	sex	tissue	self_reported_ethnicity	development_stage	observation_joinid
A01101401	Calb2	11/18/2013	hiseq	23770190	93.5	54.43	30.08	4.36	306.1	Inhibitory	Vip	V1	All	11	A200_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	58)wcQnOTs
A01101402	Calb2	11/18/2013	hiseq	9694719	92.86	45.69	35.45	7.84	341.2	Inhibitory	Vip	V1	All	11	A201_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	ko|#w$$237
A01101403	Calb2	11/18/2013	hiseq	5864322	90.55	48.3	34.01	4.12	106.2	Excitatory	L4	V1	All	11	A202_V	ILX:0770174	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	MXPd2fhc&U
A01101404	Calb2	11/18/2013	hiseq	22102121	93.25	51.41	33.81	4.24	371.1	Inhibitory	Vip	V1	All	11	A203_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	UmjBy$JRU^
A01101405	Calb2	11/18/2013	hiseq	24057147	93.14	51.06	32.11	4.98	264.2	Inhibitory	Vip	V1	All	11	A204_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	4to@$#}{k8
A01101406	Calb2	11/18/2013	hiseq	24171169	92.18	49.31	35.85	3.14	205.8	Excitatory	L2/3	V1	All	11	A205_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	F{Y6&#1v1d
A01101407	Calb2	11/18/2013	hiseq	22447919	93.19	48.83	37.06	3.12	204.5	Excitatory	L2/3	V1	All	11	A206_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	XZY9rjR~!&
A01101408	Calb2	11/18/2013	hiseq	20995719	93.1	67.24	18.11	2.27	302.3	Excitatory	L2/3	V1	All	11	A207_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	Nl>jpL?#SL
A02271433	Calb2	2/25/2014	hiseq	9023705	93.01	47.38	34.82	3.22	318.4	Excitatory	L4	V1	All	11	A272_V	ILX:0770174	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	134888	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	gCpPViGJ{w
A02271434	Calb2	2/25/2014	hiseq	23016406	93.18	53.5	31.67	2.13	318.1	Excitatory	L2/3_Syt10	V1	All	11	A273_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	134888	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	7Y7ua!P3EV
A02271435	Calb2	2/25/2014	hiseq	5447298	90.17	55.78	24.8	2.61	183.8	Inhibitory	Pvalb	V1	All	11	A274_V	ILX:0770154	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	134888	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	*`P|YS{=L@
A02271436	Calb2	2/25/2014	hiseq	8892003	93.8	55.16	31.87	0.96	232.0	Excitatory	L2/3	V1	All	11	A275_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	134888	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	Qi77lb_C6U
A02271437	Calb2	2/25/2014	hiseq	20660938	88.98	46.11	36.91	1.48	226.8	Inhibitory	Vip	V1	All	11	A276_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	134888	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	yAHf4@j$!N
A02271438	Calb2	2/25/2014	hiseq	21353123	92.71	50.04	36.69	0.98	320.5	Excitatory	L2/3	V1	All	11	A277_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	134888	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	sD>%(f@?8_
A02271439	Calb2	2/25/2014	hiseq	24088938	92.12	43.63	41.32	1.93	137.2	Inhibitory	Vip	V1	All	11	A278_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	134888	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	+Y-RkEBkvN
A02271440	Calb2	2/25/2014	hiseq	24996734	92.34	47.4	34.97	3.86	78.5	Inhibitory	Vip	V1	All	11	A279_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	134888	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	3z0hl<dhzV
A12101401	Calb2	11/18/2013	hiseq_122214	8221024	91.72	51.0	33.12	3.11	131.6	Inhibitory	Vip	V1	All	11	A1602_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	lp$al^14|1
A12101402	Calb2	11/18/2013	hiseq_122214	8496227	90.75	40.01	41.84	5.3	307.8	Inhibitory	Vip	V1	All	11	A1603_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	wTcC>)@6zX
A12101403	Calb2	11/18/2013	hiseq_122214	7760851	86.46	43.48	33.97	4.82	168.8	Inhibitory	Vip	V1	All	11	A1604_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	sSuf&%ldzB
A12101404	Calb2	11/18/2013	hiseq_122214	8712070	88.49	45.46	35.21	3.74	249.0	Inhibitory	Vip	V1	All	11	A1605_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	vft+a6TF9~
A12101405	Calb2	11/18/2013	hiseq_122214	7397300	83.56	46.13	29.81	3.82	65.8	Inhibitory	Vip	V1	All	11	A1606_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	(KAkGoDGEF
A12101406	Calb2	11/18/2013	hiseq_122214	7496815	90.23	55.95	28.18	2.53	55.2	Inhibitory	Vip	V1	All	11	A1607_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	n(rJ)=Eqsa
A12101407	Calb2	11/18/2013	hiseq_122214	6805529	91.43	45.58	37.93	3.86	103.4	Excitatory	L4	V1	All	11	A1608_V	ILX:0770174	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	->-j%FEb_1
A12101408	Calb2	11/18/2013	hiseq_122214	6529548	91.15	59.09	22.66	4.75	445.7	Inhibitory	Vip	V1	All	11	A1609_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	UN*9jT?sLS
A12101409	Calb2	11/18/2013	hiseq_122214	6486617	89.92	47.15	33.85	5.19	428.9	Inhibitory	Vip	V1	All	11	A1610_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	eq`>Ui+#6R
A12101410	Calb2	11/18/2013	hiseq_122214	6870222	89.39	48.35	33.61	3.54	189.2	Inhibitory	Vip	V1	All	11	A1611_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	Vdr+vaaOXL
A12101411	Calb2	11/18/2013	hiseq_122214	5723131	89.33	45.84	29.91	7.44	310.3	Excitatory	Unknown	V1	All	11	A1612_V	unknown	EFO:0008930	PATO:0000461	UBERON:0002436	unknown	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	unknown	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	7hAM#T%x5C
A12101412	Calb2	11/18/2013	hiseq_122214	7886139	91.26	53.15	29.98	3.72	127.7	Glia	OPC	V1	All	11	A1613_V	ILX:0770139	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0002453	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	oligodendrocyte precursor cell	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	iw6I902u7<
A12101413	Calb2	11/18/2013	hiseq_122214	7567556	90.52	50.85	31.76	3.74	153.2	Inhibitory	Vip	V1	All	11	A1614_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	9HE9R{1({{
A12101414	Calb2	11/18/2013	hiseq_122214	7677969	91.02	45.34	38.74	2.54	140.0	Excitatory	L2/3	V1	All	11	A1615_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	g^ms5N+RfE
A12101415	Calb2	11/18/2013	hiseq_122214	7481407	91.54	45.84	38.09	3.17	160.8	Excitatory	L4	V1	All	11	A1616_V	ILX:0770174	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	9d&P7jN^j;
A12101416	Calb2	11/18/2013	hiseq_122214	8524880	91.55	46.79	38.21	2.33	327.3	Excitatory	L4	V1	All	11	A1617_V	ILX:0770174	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	n+1k>`OQ@H
A12101417	Calb2	11/19/2013	hiseq_122214	7364480	89.17	50.26	33.24	0.94	149.9	Excitatory	L2/3	V1	upper	58	A1618_VU	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	b3bjqL5VRw
A12101418	Calb2	11/19/2013	hiseq_122214	7847769	91.49	53.95	30.6	2.43	60.9	Inhibitory	Vip	V1	upper	58	A1619_VU	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	!90|PmxSEm
A12101419	Calb2	11/19/2013	hiseq_122214	5720827	86.82	44.63	34.74	2.98	44.4	Inhibitory	Vip	V1	upper	58	A1620_VU	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	HV%@VP=ncX
A12101420	Calb2	11/19/2013	hiseq_122214	7552931	89.75	48.13	34.72	2.48	132.4	Inhibitory	Unknown	V1	upper	58	A1621_VU	unknown	EFO:0008930	PATO:0000461	UBERON:0002436	unknown	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	unknown	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	<CkpG*;9%4
A12101421	Calb2	11/19/2013	hiseq_122214	7570107	91.13	55.02	28.87	2.51	258.6	Inhibitory	Vip	V1	upper	58	A1622_VU	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	5{!C;x929c
A12101422	Calb2	11/19/2013	hiseq_122214	10781649	90.92	51.8	30.76	3.04	290.9	Inhibitory	Vip	V1	upper	58	A1623_VU	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	x*MO3yaS#a
A12101423	Calb2	11/19/2013	hiseq_122214	7618290	90.29	47.46	36.95	1.17	248.3	Excitatory	L2/3	V1	upper	58	A1624_VU	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	%@+@4+{!kx
A12101424	Calb2	11/19/2013	hiseq_122214	7455597	83.95	60.13	16.72	3.38	596.7	Inhibitory	Vip	V1	upper	58	A1625_VU	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	+BtGxK{~Wo
A12101425	Calb2	11/19/2013	hiseq_122214	6951898	90.9	48.54	36.07	1.97	133.2	Inhibitory	Unknown	V1	upper	58	A1626_VU	unknown	EFO:0008930	PATO:0000461	UBERON:0002436	unknown	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	unknown	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	2hBf&NMPR;
A12101426	Calb2	11/19/2013	hiseq_122214	7719123	91.11	52.63	31.89	1.15	308.6	Excitatory	L2/3	V1	upper	58	A1627_VU	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	sPla`d3Qd`
A12101427	Calb2	11/19/2013	hiseq_122214	6789603	91.03	50.5	33.27	2.12	252.2	Inhibitory	Vip	V1	upper	58	A1628_VU	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	<)~ka?<xS$
A12101428	Calb2	11/19/2013	hiseq_122214	9057420	91.39	48.84	35.53	2.11	83.7	Inhibitory	Vip	V1	upper	58	A1629_VU	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	)=oc9OkL-F
A12101429	Calb2	11/19/2013	hiseq_122214	7427227	91.81	46.61	38.73	1.66	390.1	Excitatory	L4	V1	upper	58	A1630_VU	ILX:0770174	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	XU6DC=~hcW
A12101430	Calb2	11/19/2013	hiseq_122214	7913243	89.83	30.51	46.73	4.07	183.1	Glia	Astrocyte	V1	upper	58	A1631_VU	ILX:0770141	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000127	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	astrocyte	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	X(t!u-5f((
A12101431	Calb2	11/19/2013	hiseq_122214	7940635	92.07	44.43	42.0	1.37	177.7	Excitatory	L4	V1	upper	58	A1632_VU	ILX:0770174	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	{daLMF5Sxt
A12101432	Calb2	11/19/2013	hiseq_122214	8317581	90.45	32.85	44.69	4.17	228.4	Glia	Astrocyte	V1	upper	58	A1633_VU	ILX:0770141	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000127	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	astrocyte	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	lVTcJ{3lRo
A12101433	Calb2	11/19/2013	hiseq_122214	7995237	89.47	47.0	36.43	1.72	255.7	Inhibitory	Vip	V1	lower	59	A1634_VL	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	AMUDi;^Y(v
A12101434	Calb2	11/19/2013	hiseq_122214	7398156	90.55	37.75	42.55	3.11	121.7	Glia	Astrocyte	V1	lower	59	A1635_VL	ILX:0770141	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000127	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	astrocyte	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	q~JxSgr_ew
A12101435	Calb2	11/19/2013	hiseq_122214	8361028	90.71	47.24	36.92	1.23	223.7	Excitatory	L2/3	V1	lower	59	A1636_VL	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	^sS!7TqjTi
A12101436	Calb2	11/19/2013	hiseq_122214	8152945	90.72	50.3	33.5	2.46	194.3	Inhibitory	Vip	V1	lower	59	A1637_VL	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	5_mTkYM0sD
A12101437	Calb2	11/19/2013	hiseq_122214	7534755	86.07	44.82	27.82	6.27	213.7	Glia	Astrocyte	V1	lower	59	A1638_VL	ILX:0770141	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000127	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	astrocyte	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	;{dx%Kqs?;
A12101438	Calb2	11/19/2013	hiseq_122214	8279611	90.47	58.16	25.02	2.37	205.2	Inhibitory	Vip	V1	lower	59	A1639_VL	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	l`Q>$d-sO%
A12101439	Calb2	11/19/2013	hiseq_122214	8026629	90.14	52.59	29.81	3.45	151.9	Inhibitory	Vip	V1	lower	59	A1640_VL	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	kZ$4)Dti(6
A12101440	Calb2	11/19/2013	hiseq_122214	5494450	85.52	48.42	28.96	3.12	280.1	Inhibitory	Vip	V1	lower	59	A1641_VL	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	E09y$GTT~Y
A12101441	Calb2	11/19/2013	hiseq_122214	6356068	88.57	46.35	34.59	3.12	89.4	Inhibitory	Vip	V1	lower	59	A1642_VL	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	=_?P3w5ijl
A12101442	Calb2	11/19/2013	hiseq_122214	5831929	89.44	39.29	36.0	5.71	449.4	Glia	Astrocyte	V1	lower	59	A1643_VL	ILX:0770141	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000127	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	astrocyte	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	eO9aI2U$XP
A12101443	Calb2	11/19/2013	hiseq_122214	6380680	91.05	53.28	31.24	1.56	468.6	Inhibitory	Vip	V1	lower	59	A1644_VL	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	Rm_TK2OfWF
A12101444	Calb2	11/19/2013	hiseq_122214	5914286	91.77	52.24	32.3	2.31	362.3	Inhibitory	Vip	V1	lower	59	A1645_VL	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	=RbTB%o7KQ
A12101445	Calb2	11/19/2013	hiseq_122214	5388668	87.81	54.66	27.26	1.5	194.9	Glia	OPC	V1	lower	59	A1646_VL	ILX:0770139	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0002453	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	oligodendrocyte precursor cell	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	`-Ls$#9qy<
A12101446	Calb2	11/19/2013	hiseq_122214	6223421	93.17	51.67	36.32	0.98	216.6	Inhibitory	Vip	V1	lower	59	A1647_VL	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	1oEL^4*>Dh
A12101447	Calb2	11/19/2013	hiseq_122214	5551199	92.85	46.76	39.95	1.71	109.0	Inhibitory	Vip	V1	lower	59	A1648_VL	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	QYv=YNCeNT
A12101448	Calb2	11/19/2013	hiseq_122214	5585208	87.96	51.57	30.89	1.79	93.8	Inhibitory	Unknown	V1	lower	59	A1649_VL	unknown	EFO:0008930	PATO:0000461	UBERON:0002436	unknown	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126149	cell	tissue	unknown	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	4gjSlVi%c@
B06061401	Rorb	3/4/2014	hiseq_062514	10649829	92.16	46.37	39.35	2.04	394.7	Excitatory	L4	V1	L4	6	B590_V4	ILX:0770174	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	135234	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	EY`-`QSD6G
