sample_id	cell_id	cell_type	cell_type_uri
1203517	L5_IT_sc42	L5 extratelencephalic projecting glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023041
1203517	L5_IT.1_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.1_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L5_IT.2_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L5_IT.3_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L5_IT.4_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.2_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.3_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6b_sc42	L6b glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023038
1203517	L5_IT.5_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L5_IT.6_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L2/3_IT_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.4_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT_Car3_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L5_IT.7_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.5_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L2/3_IT.1_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6b.1_sc42	L6b glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023038
1203517	L6_IT.6_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L5_IT.8_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L5_IT.9_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.7_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L5_IT.10_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6b.2_sc42	L6b glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023038
1203517	L6b.3_sc42	L6b glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023038
1203517	L6_CT_sc42	L6 corticothalamic-projecting glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023042
1203517	L2/3_IT.2_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6b.4_sc42	L6b glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023038
1203517	L6_IT.8_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.9_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L5_IT.11_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.10_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.11_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6b.5_sc42	L6b glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023038
1203517	L6_IT.12_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.13_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.14_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6b.6_sc42	L6b glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023038
1203517	L6_IT.15_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L5_IT.12_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.16_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.17_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.18_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L5_IT.13_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.19_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.20_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6b.7_sc42	L6b glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023038
1203517	L5_IT.14_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6b.8_sc42	L6b glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023038
1203517	L2/3_IT.3_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L5_IT.15_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.21_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.22_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.23_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L5_IT.16_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.24_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.25_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.26_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.27_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.28_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.29_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.30_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.31_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6b.9_sc42	L6b glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023038
1203517	L6_IT.32_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	Pvalb_sc42	pvalb GABAergic cortical interneuron	http://purl.obolibrary.org/obo/CL_4023018
1203517	L6_IT.33_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L2/3_IT.4_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.34_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT_Car3.1_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.35_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6_IT.36_sc42	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040
1203517	L6b.10_sc42	L6b glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023038
