ID	NCBI_GENE_ID	ENSEMBL_ID	OFFICIAL_SYMBOL	OFFICIAL_NAME
948040	25676	ENSRNOG00000029185	Rasa1	RAS p21 protein activator 1
948045	25677	ENSRNOG00000015101	Mak	male germ cell-associated kinase
948053	25678	ENSRNOG00000057125	Ddr1	discoidin domain receptor tyrosine kinase 1
948059	25679	ENSRNOG00000052795	Itpr3	inositol 1,4,5-trisphosphate receptor, type 3
948065	25680	ENSRNOG00000000510	Clps	colipase
948073	25681	ENSRNOG00000051399	Col10a1	collagen type X alpha 1 chain
948079	25682	ENSRNOG00000000503	Ppard	peroxisome proliferator-activated receptor delta
948089	25683	ENSRNOG00000058470	Col12a1	collagen type XII alpha 1 chain
948097	25684	ENSRNOG00000011022	Mep1a	meprin A subunit alpha
948108	25685	ENSRNOG00000058780	Igfbp1	insulin-like growth factor binding protein 1
948121	25686	ENSRNOG00000057096	Gnai1	G protein subunit alpha i1
948131	25687	ENSRNOG00000010233	Cald1	caldesmon 1
948136	25688	ENSRNOG00000016917	Clcn1	chloride voltage-gated channel 1
948152	25689	ENSRNOG00000007066	Htr5a	5-hydroxytryptamine receptor 5A
948158	25690	ENSRNOG00000004342	Ahr	aryl hydrocarbon receptor
948174	25692	ENSRNOG00000019018	Plat	plasminogen activator, tissue type
948183	25693	ENSRNOG00000011992	Slc18a1	solute carrier family 18 member A1
948193	25694	ENSRNOG00000004854	Has2	hyaluronan synthase 2
948200	25695	ENSRNOG00000050869	Cebpd	CCAAT/enhancer binding protein delta
948206	25696	ENSRNOG00000027491	Vldlr	very low density lipoprotein receptor
948212	25697	ENSRNOG00000018566	Ctsl	cathepsin L
948221	25698	ENSRNOG00000008837	Ass1	argininosuccinate synthase 1
948231	25699	ENSRNOG00000006641	Dbh	dopamine beta-hydroxylase
948237	25700	ENSRNOG00000016833	Ide	insulin degrading enzyme
948243	25701	ENSRNOG00000034078	Mxi1	MAX interactor 1, dimerization protein
948258	25702	ENSRNOG00000017725	Pnlip	pancreatic lipase
948269	25703	ENSRNOG00000015518	Rbp4	retinol binding protein 4
948278	25704	ENSRNOG00000047647	Il2ra	interleukin 2 receptor subunit alpha
948284	25705	ENSRNOG00000017863	Zeb1	zinc finger E-box binding homeobox 1
948294	25706	ENSRNOG00000017679	Cckbr	cholecystokinin B receptor
948306	25707	ENSRNOG00000012460	Cntf	ciliary neurotrophic factor
948312	25708	ENSRNOG00000017716	Ucp3	uncoupling protein 3
948326	25709	ENSRNOG00000010390	Hmbs	hydroxymethylbilane synthase
948339	25710	ENSRNOG00000015994	Cd3d	CD3 delta subunit of T-cell receptor complex
948345	25711	ENSRNOG00000009031	Gucy2c	guanylate cyclase 2C
948351	25712	ENSRNOG00000007468	Ifng	interferon gamma
948360	25713	ENSRNOG00000012208	Itgb7	integrin subunit beta 7
948370	25714	ENSRNOG00000004878	Myf6	myogenic factor 6
948377	25715	ENSRNOG00000019550	Slc11a2	solute carrier family 11 member 2
948388	25716	ENSRNOG00000006426	Syt1	synaptotagmin 1
948412	25717	ENSRNOG00000009867	Tgfb3	transforming growth factor, beta 3
948421	25718	ENSRNOG00000014187	Igf1r	insulin-like growth factor 1 receptor
948430	25719	ENSRNOG00000007542	Scg5	secretogranin V
948438	25720	ENSRNOG00000057754	Tcf12	transcription factor 12
948447	25721	ENSRNOG00000011782	Got2	glutamic-oxaloacetic transaminase 2
948455	25722	ENSRNOG00000012134	Scn4a	sodium voltage-gated channel alpha subunit 4
948464	25723	ENSRNOG00000018892	Hcrt	hypocretin neuropeptide precursor
948472	25724	ENSRNOG00000005580	Itgb4	integrin subunit beta 4
948478	25725	ENSRNOG00000049876	Prkar1a	protein kinase cAMP-dependent type I regulatory subunit alpha
948486	25726	ENSRNOG00000016685	Mc5r	melanocortin 5 receptor
948492	25727	ENSRNOG00000049345	Mep1b	meprin A subunit beta
948501	25728	ENSRNOG00000018454	Apoe	apolipoprotein E
948513	25729	ENSRNOG00000014786	Ccne1	cyclin E1
948521	25730	ENSRNOG00000020783	Ntf4	neurotrophin 4
948528	25731	ENSRNOG00000019318	Syt3	synaptotagmin 3
948539	25732	ENSRNOG00000046261	Acp5	acid phosphatase 5, tartrate resistant
948548	25734	ENSRNOG00000009331	Hck	HCK proto-oncogene, Src family tyrosine kinase
948561	25735	ENSRNOG00000008895	Hnf4a	hepatocyte nuclear factor 4, alpha
948571	25736	ENSRNOG00000046949	Kcnb1	potassium voltage-gated channel subfamily B member 1
948577	25737	ENSRNOG00000021264	Pcna	proliferating cell nuclear antigen
948585	25738	ENSRNOG00000051490	Plcg1	phospholipase C, gamma 1
948591	25739	ENSRNOG00000007583	Pygb	glycogen phosphorylase B
948601	25740	ENSRNOG00000001313	Gnaz	G protein subunit alpha z
948608	25741	ENSRNOG00000001214	Pfkl	phosphofructokinase, liver type
948618	25742	ENSRNOG00000001295	S100b	S100 calcium binding protein B
948628	25743	ENSRNOG00000001658	Kcnj6	potassium inwardly-rectifying channel, subfamily J, member 6
948647	25744	ENSRNOG00000007948	Nf2	NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor
948658	25745	ENSRNOG00000049236	Myh9	myosin, heavy chain 9
948667	25746	ENSRNOG00000048636	Il2rb	interleukin 2 receptor subunit beta
948673	25747	ENSRNOG00000021463	Ppara	peroxisome proliferator activated receptor alpha
948679	25748	ENSRNOG00000000167	Alas2	5'-aminolevulinate synthase 2
948692	25749	ENSRNOG00000002862	Clcn5	chloride voltage-gated channel 5
948700	25750	ENSRNOG00000029778	Maob	monoamine oxidase B
948711	25751	ENSRNOG00000007649	Dnm2	dynamin 2
948719	25752	ENSRNOG00000020884	Cd6	Cd6 molecule
948730	25753	ENSRNOG00000019634	Chrng	cholinergic receptor nicotinic gamma subunit
948737	25756	ENSRNOG00000010438	Cpt1b	carnitine palmitoyltransferase 1B
948749	25757	ENSRNOG00000014254	Cpt1a	carnitine palmitoyltransferase 1A
948790	26199	ENSRNOG00000033615	ND3	NADH dehydrogenase subunit 3
948827	26295	ENSRNOG00000003359	Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase
948833	26296	ENSRNOG00000061595	Tfec	transcription factor EC
948841	26759	ENSRNOG00000010580	Acot7	acyl-CoA thioesterase 7
948854	26760	ENSRNOG00000017899	Akr7a3	aldo-keto reductase family 7 member A3
948868	26954	ENSRNOG00000050578	Rheb	Ras homolog, mTORC1 binding
948876	26955	ENSRNOG00000023753	Afdn	afadin, adherens junction formation factor
948885	26956	ENSRNOG00000052506	Ak3	adenylate kinase 3
948893	26962	ENSRNOG00000068956	Rpl8	ribosomal protein L8
948902	26989	ENSRNOG00000008570	Cadps	calcium dependent secretion activator
948908	27064	ENSRNOG00000018598	Ankrd1	ankyrin repeat domain 1
948918	27080	ENSRNOG00000008927	Hbp1	HMG-box transcription factor 1
948926	27100	ENSRNOG00000013370	Gfer	growth factor, augmenter of liver regeneration
948933	27137	ENSRNOG00000001050	Eif2ak1	eukaryotic translation initiation factor 2 alpha kinase 1
948942	27139	ENSRNOG00000005517	Rps26	ribosomal protein S26
948950	27150	ENSRNOG00000057315	Kcnh3	potassium voltage-gated channel subfamily H member 3
948962	27256	ENSRNOG00000032517	Cntn6	contactin 6
948968	28298	ENSRNOG00000010746	Rpl32	ribosomal protein L32
948979	29130	ENSRNOG00000026866	Syn3	synapsin III
948985	29131	ENSRNOG00000017712	Cartpt	CART prepropeptide
948992	29132	ENSRNOG00000032378	Atp1a4	ATPase Na+/K+ transporting subunit alpha 4
949001	29134	ENSRNOG00000055010	Axin2	axin 2
949009	29135	ENSRNOG00000021097	Hpn	hepsin
949023	29138	ENSRNOG00000030714	Bsn	bassoon (presynaptic cytomatrix protein)
949029	29139	ENSRNOG00000004554	Dcn	decorin
949039	29140	ENSRNOG00000058739	Snn	stannin
949048	29141	ENSRNOG00000015156	Gal	galanin and GMAP prepropeptide
949057	29142	ENSRNOG00000016219	Vnn1	vanin 1
949062	29143	ENSRNOG00000021031	Grn	granulin precursor
949072	29144	ENSRNOG00000003343	Canx	calnexin
949078	29145	ENSRNOG00000001057	Ctxn1	cortexin 1
949085	29146	ENSRNOG00000007443	Jag1	jagged canonical Notch ligand 1
949091	29147	ENSRNOG00000013927	Jag2	jagged canonical Notch ligand 2
949101	29148	ENSRNOG00000030743	Myog	myogenin
949110	29149	ENSRNOG00000004806	Strn	striatin
949116	29150	ENSRNOG00000019875	Matr3	matrin 3
949127	29151	ENSRNOG00000006090	Ucn	urocortin
949134	29152	ENSRNOG00000021294	Mstn	myostatin
949140	29153	ENSRNOG00000020935	Capn1	calpain 1
949148	29154	ENSRNOG00000034015	Capn2	calpain 2
949157	29155	ENSRNOG00000008609	Capn3	calpain 3
949176	29156	ENSRNOG00000067065	Capns1	calpain, small subunit 1
949186	29157	ENSRNOG00000002089	Ccng2	cyclin G2
949191	29158	ENSRNOG00000050539	Fbln5	fibulin 5
949201	29160	ENSRNOG00000003965	Amelx	amelogenin, X-linked
949218	29161	ENSRNOG00000005798	Cav3	caveolin 3
949226	29162	ENSRNOG00000032490	Cdh7	cadherin 7
949232	29163	ENSRNOG00000033837	Cdh9	cadherin 9
949237	29165	ENSRNOG00000010661	Gzmk	granzyme K
949243	29167	ENSRNOG00000010048	Dctn1	dynactin subunit 1
949249	29168	ENSRNOG00000000767	Ubd	ubiquitin D
949256	29169	ENSRNOG00000010031	Vtn	vitronectin
949267	29170	ENSRNOG00000063448	Aqp6	aquaporin 6
949274	29171	ENSRNOG00000009686	Aqp7	aquaporin 7
949286	29172	ENSRNOG00000014652	Aqp8	aquaporin 8
949296	29173	ENSRNOG00000039326	Csn2	casein beta
949302	29174	ENSRNOG00000046476	Ctsj	cathepsin J
949312	29175	ENSRNOG00000021155	Ctsk	cathepsin K
949320	29177	ENSRNOG00000006979	Hpca	hippocalcin
949332	29179	ENSRNOG00000008157	Syn2	synapsin II
949342	29180	ENSRNOG00000018393	Uts2	urotensin 2
949348	29181	ENSRNOG00000009771	Cdh10	cadherin 10
949365	29182	ENSRNOG00000018557	Cdh22	cadherin 22
949375	29183	ENSRNOG00000002754	Areg	amphiregulin
949381	29184	ENSRNOG00000005906	Cd36	CD36 molecule
949404	29185	ENSRNOG00000020699	Cd37	CD37 molecule
949412	29186	ENSRNOG00000007650	Cd63	Cd63 molecule
949422	29187	ENSRNOG00000056783	Cd69	Cd69 molecule
949430	29188	ENSRNOG00000001951	Csn3	casein kappa
949436	29189	ENSRNOG00000012123	Fdx1	ferredoxin 1
949444	29190	ENSRNOG00000026036	Pdyn	prodynorphin
949450	29191	ENSRNOG00000004229	Tac3	tachykinin precursor 3
949456	29192	ENSRNOG00000009110	Psen1	presenilin 1
949466	29194	ENSRNOG00000016791	Chka	choline kinase alpha
949478	29195	ENSRNOG00000003304	Chad	chondroadherin
949484	29197	ENSRNOG00000009848	Il18	interleukin 18
949502	29199	ENSRNOG00000016967	Hfe	homeostatic iron regulator
949516	29200	ENSRNOG00000014320	Inhba	inhibin subunit beta A
949522	29201	ENSRNOG00000018962	Ctf1	cardiotrophin 1
949530	29202	ENSRNOG00000029184	Epha6	Eph receptor A6
949536	29203	ENSRNOG00000066522	Foxd3	forkhead box D3
949544	29204	ENSRNOG00000016962	Neu2	neuraminidase 2
949554	29205	ENSRNOG00000017108	Syngr1	synaptogyrin 1
949560	29206	ENSRNOG00000032902	Ybx1-ps20	Y box binding protein 1, pseudogene 20
949565	29209	ENSRNOG00000016243	Casq2	calsequestrin 2
949576	29210	ENSRNOG00000030285	Epha3	Eph receptor A3
949582	29211	ENSRNOG00000058842	Sptbn2	spectrin, beta, non-erythrocytic 2
949592	29213	ENSRNOG00000047505	Tubb4a	tubulin, beta 4A class IVa
949597	29214	ENSRNOG00000061216	Tubb5	tubulin, beta 5 class I
949606	29215	ENSRNOG00000053811	Arg2	arginase 2
949616	29216	ENSRNOG00000056184	Lrp2	LDL receptor related protein 2
949622	29218	ENSRNOG00000015780	Rcn2	reticulocalbin 2
949630	29219	ENSRNOG00000008656	Snca	synuclein alpha
949651	29220	ENSRNOG00000012471	Thbs4	thrombospondin 4
949659	29221	ENSRNOG00000013304	Arg1	arginase 1
949669	29222	ENSRNOG00000018584	Ptma	prothymosin alpha
949690	29223	ENSRNOG00000045738	Ak4	adenylate kinase 4
949698	29224	ENSRNOG00000049911	Cbr1	carbonyl reductase 1
949722	29225	ENSRNOG00000015438	Ces1e	carboxylesterase 1E
949744	29227	ENSRNOG00000009795	Nfib	nuclear factor I/B
949775	29228	ENSRNOG00000004505	Nfic	nuclear factor I/C
949785	29229	ENSRNOG00000066132	Spt1	salivary protein 1
949791	29230	ENSRNOG00000009550	Sqle	squalene epoxidase
949801	29231	ENSRNOG00000012638	Ciao1	cytosolic iron-sulfur assembly component 1
949807	29232	ENSRNOG00000001742	Clcn2	chloride voltage-gated channel 2
949817	29233	ENSRNOG00000016976	Clcn7	chloride voltage-gated channel 7
949823	29234	ENSRNOG00000061733	Galr2	galanin receptor 2
949835	29235	ENSRNOG00000027060	Galr3	galanin receptor 3
949845	29236	ENSRNOG00000018645	Rpsa	ribosomal protein SA
949857	29237	ENSRNOG00000008943	Penk	proenkephalin
949872	29238	ENSRNOG00000060806	Drd3	dopamine receptor D3
949882	29240	ENSRNOG00000019150	Polb	DNA polymerase beta
949897	29241	ENSRNOG00000004890	Adcy8	adenylate cyclase 8
949903	29242	ENSRNOG00000002916	Car4	carbonic anhydrase 4
949912	29243	ENSRNOG00000033444	F10	coagulation factor X
949922	29244	ENSRNOG00000011039	Gch1	GTP cyclohydrolase 1
949929	29245	ENSRNOG00000031927	Klk6	kallikrein related-peptidase 6
949935	29246	ENSRNOG00000013657	Stmn3	stathmin 3
949941	29248	ENSRNOG00000018250	Tnni3	troponin I3, cardiac type
949955	29251	ENSRNOG00000016325	F2	coagulation factor II, thrombin
949963	29252	ENSRNOG00000030530	Gzmm	granzyme M
949971	29253	ENSRNOG00000002848	Maoa	monoamine oxidase A
949979	29254	ENSRNOG00000014508	Mgll	monoglyceride lipase
949987	29256	ENSRNOG00000016768	Oprl1	opioid related nociceptin receptor 1
950012	29257	ENSRNOG00000026716	Rpl9	ribosomal protein L9
950022	29258	ENSRNOG00000008373	Rps7	ribosomal protein S7
950033	29259	ENSRNOG00000002776	Sell	selectin L
950042	29260	ENSRNOG00000010522	Tlr4	toll-like receptor 4
950048	29261	ENSRNOG00000037225	Tyms	thymidylate synthetase
950054	29263	ENSRNOG00000005334	Acvr2a	activin A receptor type 2A
